year doy    hr          dn        sn        de        se        dh        sh (unit: mm)
2015 221  0.0000       0.00      2.00      0.00      2.00      0.00      1.00
2015 222  0.0000       0.00      2.00      0.00      2.00      0.00      1.00
2015 223  0.0000       0.00      2.00      0.00      2.00      0.00      1.00
2015 224  0.0000       0.00      2.00      0.00      2.00      0.00      1.00
2015 225  0.0000       0.00      2.00      0.00      2.00      0.00      1.00
2015 226  0.0000       0.00      2.00      0.00      2.00      0.00      1.00
2015 227  0.0000       0.00      2.00      0.00      2.00      0.00      1.00
2015 228  0.0000       0.00      2.00      0.00      2.00      0.00      1.00
2015 229  0.0000       0.00      2.00      0.00      2.00      0.00      1.00
2015 230  0.0000       0.00      2.00      0.00      2.00      0.00      1.00
2015 231  0.0000       0.00      2.00      0.00      2.00      0.00      1.00
2015 232  0.0000       0.00      2.00      0.00      2.00      0.00      1.00
