year doy    hr          dn        sn        de        se        dh        sh (unit: mm)
2015 221  0.0000       5.36     16.00     -0.21      6.00      9.46      8.00
2015 222  0.0000      -2.84     14.00     -0.30      5.00     -2.04      7.00
2015 223  0.0000      -5.65     13.00     -1.69      5.00     -1.64      6.50
2015 224  0.0000      -1.60     14.00     -0.78      5.00     -6.34      7.00
2015 225  0.0000       0.72     13.00      0.47      5.00     -0.94      6.00
2015 226  0.0000      -1.01     13.00      0.87      5.00     -6.34      6.00
2015 227  0.0000       2.45     13.00     -0.07      5.00     -3.94      6.00
2015 228  0.0000      -2.53     13.00      0.13      5.00      0.96      6.00
2015 229  0.0000       0.16     14.00     -1.10      5.00      8.66      6.50
2015 230  0.0000       6.35     13.00      2.38      5.00     -0.14      6.00
2015 231  0.0000      -2.37     15.00     -1.24      6.00      0.56      7.00
2015 232  0.0000       0.97     13.00      1.53      5.00      1.76      6.50
